id_createur;est_auteur;est_illustrateur;id jeu
1;1;0;1
2;0;1;1
3;0;1;1
4;0;1;1
5;1;0;2
6;1;0;2
7;0;1;2
8;1;0;3
5;1;0;3
9;1;0;3
10;0;1;3
11;1;0;4
12;0;1;4
13;1;0;5
14;0;1;5
15;0;1;5
16;1;0;6
17;0;1;6
5;1;0;7
6;1;0;7
18;0;1;7
5;1;0;8
19;1;0;8
20;0;1;8
5;1;0;9
21;1;0;9
22;0;1;9
23;1;0;10
24;0;1;10
5;1;0;11
25;0;1;11
26;1;0;12
27;0;1;12
28;1;0;13
29;0;1;13
21;1;0;14
30;0;1;14
31;1;0;15
32;1;0;15
33;0;1;15
1;1;0;16
34;0;1;16
35;1;0;17
36;0;1;17
37;1;0;18
38;0;1;18
39;1;0;19
30;0;1;19
40;1;0;20
41;0;1;20
1;1;0;21
42;0;1;21
43;1;0;22
36;0;1;22
44;1;0;23
45;1;0;23
46;0;1;23
47;1;1;24
48;1;0;25
49;0;1;25
5;1;0;26
50;1;0;26
38;0;1;26
51;1;0;27
52;0;1;27
5;1;0;28
53;1;0;28
54;0;1;28
55;1;0;29
56;0;1;29
57;1;0;30
7;0;1;30
58;1;0;31
59;0;1;31
60;0;1;31
61;1;0;32
62;1;0;32
63;0;1;32
64;1;0;33
65;1;0;33
66;0;1;33
67;1;0;34
68;0;1;34
54;0;1;34
69;1;0;35
70;0;1;35
71;1;0;36
72;0;1;36
73;1;0;37
74;0;1;37
75;1;0;38
76;1;0;38
77;0;1;38
57;1;0;39
78;0;1;39
79;1;0;40
80;0;1;40
81;1;0;41
82;0;1;41
5;1;0;42
83;0;1;42
84;1;0;43
78;0;1;43
9;1;0;44
85;0;1;44
86;1;0;45
87;0;1;45
1;1;0;46
5;1;0;46
34;0;1;46
88;1;0;47
89;0;1;47
90;1;0;48
34;0;1;48
91;1;0;49
24;0;1;49
92;1;0;50
93;0;1;50
